"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US1330434","ZCTA5 30434, Georgia","5728"
"8710000US1330436","ZCTA5 30436, Georgia","11961"
"8710000US1330438","ZCTA5 30438, Georgia","74"
"8710000US1330439","ZCTA5 30439, Georgia","10877"
"8710000US1330441","ZCTA5 30441, Georgia","1663"
"8710000US1330442","ZCTA5 30442, Georgia","7698"
"8710000US1330445","ZCTA5 30445, Georgia","3285"
"8710000US1330446","ZCTA5 30446, Georgia","1357"
"8710000US1330448","ZCTA5 30448, Georgia","81"
"8710000US1330449","ZCTA5 30449, Georgia","119"
"8710000US1330450","ZCTA5 30450, Georgia","2583"
"8710000US1330451","ZCTA5 30451, Georgia","33"
"8710000US1330452","ZCTA5 30452, Georgia","1567"
"8710000US1330453","ZCTA5 30453, Georgia","9703"
"8710000US1330454","ZCTA5 30454, Georgia","538"
"8710000US1330455","ZCTA5 30455, Georgia","597"
"8710000US1330456","ZCTA5 30456, Georgia","2119"
"8710000US1330457","ZCTA5 30457, Georgia","6424"
"8710000US1330458","ZCTA5 30458, Georgia","41139"
"8710000US1330460","ZCTA5 30460, Georgia","427"
"8710000US1330461","ZCTA5 30461, Georgia","13390"
"8710000US1330464","ZCTA5 30464, Georgia","78"
"8710000US1330467","ZCTA5 30467, Georgia","12600"
"8710000US1330470","ZCTA5 30470, Georgia","517"
"8710000US1330471","ZCTA5 30471, Georgia","4702"
"8710000US1330473","ZCTA5 30473, Georgia","2972"
"8710000US1330474","ZCTA5 30474, Georgia","16594"
"8710000US1330475","ZCTA5 30475, Georgia","52"
"8710000US1330477","ZCTA5 30477, Georgia","3070"
"8710000US1330501","ZCTA5 30501, Georgia","28048"
"8710000US1330504","ZCTA5 30504, Georgia","22463"
"8710000US1330506","ZCTA5 30506, Georgia","41667"
"8710000US1330507","ZCTA5 30507, Georgia","28399"
"8710000US1330510","ZCTA5 30510, Georgia","8291"
"8710000US1330511","ZCTA5 30511, Georgia","3186"
"8710000US1330512","ZCTA5 30512, Georgia","19490"
"8710000US1330513","ZCTA5 30513, Georgia","11172"
"8710000US1330516","ZCTA5 30516, Georgia","2054"
"8710000US1330517","ZCTA5 30517, Georgia","11963"
"8710000US1330518","ZCTA5 30518, Georgia","45211"
"8710000US1330519","ZCTA5 30519, Georgia","39812"
"8710000US1330520","ZCTA5 30520, Georgia","4426"
"8710000US1330521","ZCTA5 30521, Georgia","4944"
"8710000US1330522","ZCTA5 30522, Georgia","1092"
"8710000US1330523","ZCTA5 30523, Georgia","12904"
"8710000US1330525","ZCTA5 30525, Georgia","7364"
"8710000US1330527","ZCTA5 30527, Georgia","4043"
"8710000US1330528","ZCTA5 30528, Georgia","22679"
"8710000US1330529","ZCTA5 30529, Georgia","10920"
"8710000US1330530","ZCTA5 30530, Georgia","6752"
"8710000US1330531","ZCTA5 30531, Georgia","11279"
"8710000US1330533","ZCTA5 30533, Georgia","25296"
"8710000US1330534","ZCTA5 30534, Georgia","26685"
"8710000US1330535","ZCTA5 30535, Georgia","7042"
"8710000US1330536","ZCTA5 30536, Georgia","8363"
"8710000US1330537","ZCTA5 30537, Georgia","1249"
"8710000US1330538","ZCTA5 30538, Georgia","2854"
"8710000US1330540","ZCTA5 30540, Georgia","17297"
"8710000US1330541","ZCTA5 30541, Georgia","1603"
"8710000US1330542","ZCTA5 30542, Georgia","31946"
"8710000US1330543","ZCTA5 30543, Georgia","4487"
"8710000US1330545","ZCTA5 30545, Georgia","936"
"8710000US1330546","ZCTA5 30546, Georgia","6496"
"8710000US1330547","ZCTA5 30547, Georgia","3268"
"8710000US1330548","ZCTA5 30548, Georgia","15870"
"8710000US1330549","ZCTA5 30549, Georgia","22500"
"8710000US1330552","ZCTA5 30552, Georgia","1697"
"8710000US1330553","ZCTA5 30553, Georgia","7232"
"8710000US1330554","ZCTA5 30554, Georgia","8535"
"8710000US1330555","ZCTA5 30555, Georgia","2061"
"8710000US1330557","ZCTA5 30557, Georgia","4975"
"8710000US1330558","ZCTA5 30558, Georgia","5456"
